labels	s11	s12	s21	s22	s31	s32	s41	s42	s51	s52	sn11	sn12	sn21	sn22	sn31	sn32	sn41	sn42	sn51	sn52	ts11	ts12	ts21	ts22	ts31	ts32	ts41	ts42	ts51	ts52
1	8385.04	9983.41	11189.09	13434.41	83798.42	42393.26	103706.43	-87019.43	0	0	-1488.83	5855.35	-335.19	5825.34	-9467.99	23421.44	-12108.45	47592.72	-27358.86	50220.39	7.23	3.72	-59.65	88.08	-24213.95	27480.34	-24951.21	38587.26	-108874.96	132805.67
1	16756.06	5327.66	37570.72	6805.71	88729.49	29094.99	107780.98	-85157.24	0	0	-2851.99	-2376.19	-7336.57	-1757.44	-20167.51	14864.69	-41762.35	31858.1	-67311.64	47015.56	-1.42	-0.34	-723.23	-21.57	-32655.4	21536.6	-34664.31	34440.79	-176589.05	86382.11
1	2429.95	-16254.02	3048.18	-38361.09	147869.23	-24236.2	99770.11	-26451.82	0	0	-4050.17	2502.67	-1271.06	2688.56	-25726.64	14550.97	-10765.34	52306.47	-29083.48	48677.64	-5.92	-5.86	-90.36	140.68	-23979.03	27597.99	-24931.1	38570.01	-113324.26	139672.65
1	10465.47	108.85	14097.93	39.7	384869.33	-115884.06	260234.14	-373541.6	0	0	4748.47	2718.04	11335.36	3085.79	-3546.89	20388.55	-26442.37	49969.16	-41437.36	56009.31	-6.95	3.28	-227.48	24.91	-27737.96	25227.07	-28961.33	37008	-132588.13	113894.38
1	-1847.84	1815.79	-2254.04	2058.51	33217.1	54602.62	96844.17	-37123.48	0	0	430.83	-2278.99	3943.2	10619.6	-6269.25	21737.7	-19445.37	47699.65	-37073.33	52526.75	2.01	4.72	-180.11	46.29	-26414.71	25635.44	-27528.3	37584.91	-126655.44	124157.47
1	-3727.07	-9305.95	-4850.22	-13577.84	15880.26	-80876.28	96567.26	13928.28	0	0	-3125.3	-2868.04	-667.27	-9268.11	-5207.6	-14708.15	2120.77	-46952.29	-23238.75	-50877.64	-11.12	-9.57	47.91	57.57	22293.34	30826.66	20551.01	46150.58	106184.84	222580.31
1	14969.71	-10258.57	25510.52	-13925.17	101816.14	1912.57	99887.31	-103230.89	0	0	-156.39	422.33	10161.32	-9253.68	13972.63	-4040.44	30903.8	-37218.24	6640.08	-64691.45	-10.15	1.37	251.59	-16.01	33162.25	24429.99	33967.62	46141.51	191890.46	235792.27
1	10636.18	-8000.76	14385.87	-10490.01	197192.16	-9397.46	118348.44	-258092.04	0	0	3349.85	1729.43	-6860.04	8754.85	-7693.88	-3045.92	-12884.29	7179.06	-26040.06	-3838.55	2.05	-4.61	32.46	497.48	1777.41	34311.63	421.37	42119.61	15574.79	173133.8
1	7601.8	-3703.88	10100.92	-4781.83	155258.42	109951.13	126214.61	-234724.96	0	0	-2094.05	-36.34	50.12	10529.29	-8716.49	14354.79	-39801.63	40698.18	-60748.07	51658.31	-4.12	0.03	-452.59	-12.38	-32154.39	23109.88	-33938.67	34812.85	-165143.25	91696.05
1	-6728.23	3002.9	-8725.36	3551.43	-53933.43	34585.79	110729.88	31335.4	0	0	-2606.07	-213.45	12623.57	10136.41	28275.49	4532.04	41799.92	-35351.95	22081.3	-56253.87	1.21	1.86	313.14	-15.3	34500.04	24968.25	35106.27	45708.97	225783.75	242544.2
1	-17661.58	-5906.49	-38160.94	-7821.27	10921.55	-83678.69	109061.59	-25833.43	0	0	-2484.96	1282.12	-4327.61	17585.49	-11422.63	16226.33	-2924.66	50474.62	-22354.7	44271.09	-2.91	2.33	-67.37	194.71	-22257.37	28521.87	-22348.42	39517.59	-98087.34	145872.6
1	-45398.09	3676.95	-73009.22	4618.07	-130173.91	81639.88	87686.49	176067.46	0	0	-4843.16	1590.66	-9706.41	-3308.37	-13642.57	-10284.11	-7244.73	-42583.48	-28660.84	-43536.07	-0.82	-5.96	54.08	191.03	19615.1	32734.58	17247.43	46671.76	90220.02	209500.36
1	2615.22	-3123.8	3462.33	-4250.15	108971.86	-9059.92	109123.65	-123390.36	0	0	3308.78	-120.92	6613.85	9487.11	10815.83	5052.14	-10810.35	19382.19	-21113.38	5369.8	0.03	4.94	-5	506.22	-2816.8	34413.57	-3649.8	41328.35	-10060.92	172319.81
