labels	s1	s2	s3	s4	s5	sn1	sn2	sn3	sn4	sn5	ts1	ts2	ts3	ts4	ts5	
1	-1588.5	-922.29	-572.9	0	0	5575.4	-1393.02	16458.83	39368.91	61972.57	-20.5	5860.88	14803.97	14452.13	115327.49	
1	1784.65	2231.95	-1508.71	0	0	-736.61	5605.04	16565.74	37253	66337.76	8.13	857.4	18868.73	14958.14	126397.11	
1	-1610.9	-567.78	-110.63	0	0	-939.08	8097.12	13394.28	33319.27	55336.26	-9.51	2788.8	19188.13	9905.63	98217.72	
1	-1336.34	-174.7	614.13	0	0	-2900.1	-4976.94	8583.42	10576.05	10395.24	-6.48	-30315.11	-15690.94	-3426.1	-53542.91	
1	1953.3	-533.28	-1991.38	0	0	-2584.5	-3743.31	-8014.75	13354.31	20529.75	2.4	-2552.17	37284.48	32706.74	202792.21	
1	675.46	116.85	417.68	0	0	-3066.72	11663.28	9039.68	16894.8	24996.6	4.04	-4357.48	5098.19	-3560.41	25329.48	
1	-1491.84	-556.22	-130.18	0	0	854.23	9960.98	27381.73	32939.83	56436.82	22	22924.35	-87067.33	5672.87	98798.9	
1	1778.05	197.18	-1462.66	0	0	4583.26	-3399.01	9425.55	57507.9	79137.61	21.7	-6490.95	22300.67	26328.31	161272.01	
1	-1427.15	-1931.69	1833.12	0	0	1374.49	-10825.03	-13980.84	1395.45	28017.54	-0.12	3658.75	1627.25	-13910.88	-79417.97	
1	1008.39	242.33	-794.69	0	0	2355.48	462.79	22728.28	46218.7	66854.16	-10	1615.16	17908.19	-591.92	141569.72	
1	-666.53	-434.72	119.69	0	0	3818.13	-5021.23	-3419.32	18331.36	13600.44	-39.2	5962.14	-140.27	-6186.31	-45176.41	
1	-836.46	-439.36	78.08	0	0	-7705.66	1652.06	-4956.5	24622.74	30990.28	12.38	-8422.42	-104	2710.32	29791.2	
1	1172.31	-166.29	120.8	0	0	-709.96	-6705.4	-5405.89	18751.86	23880.27	5.37	-11822.32	-4425.07	6969.3	24232.22	
1	1024.11	1015.01	1835.85	0	0	851.66	-1859.57	-9209.23	-532.36	20666.37	-5.11	366.79	-8639.89	-14795.5	-89346.06	
1	649.46	2021.5	2363.11	0	0	1944.61	-14853.29	-9239.99	-3011.18	2571.72	20.1	5964.45	-105511.74	-22204.98	-137677.51	
1	562.65	617.45	805.14	0	0	-4121.66	-1357.77	7837.22	4746.43	780.15	6.36	-4258.46	-14375.38	-10699.98	-48959.97	
1	115.68	-693.78	-1110.02	0	0	-3224.6	-2176.63	-1195.42	27179.08	36235.8	31.51	351.36	7246.44	11898.45	60051.73	
1	-922.1	189.21	825.84	0	0	2164.07	-3022.35	3149.79	5710.95	5510.34	-9.42	-4499.83	-14865.89	-4947.97	-55760.89	
1	457.75	63.69	521.88	0	0	-556.83	7740.12	13964.81	17999.84	31730.15	10.24	-3400.54	-2305.4	9246.37	37155.27	
1	199.21	-197.9	325.71	0	0	1451.91	-3666.67	4287.75	14694.43	11517.63	2.4	885.15	-6502.84	-4401.3	-47332.85	
1	-977.23	-794.76	-148.26	0	0	-3088.92	-6259.11	11369.43	14560.14	12074.43	6.54	-2488.82	-8169.01	318.76	-37835.98	
1	1878	1162.94	1680.23	0	0	-5108.85	2370.19	-14869.23	-2142.54	18771.69	-11.92	6782.12	-6847.04	-14202.16	-92109.71	
1	-673.97	-1339.37	-1359.59	0	0	2076.1	12084.46	8139.17	14763.89	16050.72	5.49	-3819.27	-550.09	3393.72	-18027.95	
1	98.92	1078.48	1316.51	0	0	3372.73	1512.42	669.16	-3277.76	-7726.92	-6.97	-1517.57	-22785.56	-22492.03	-178366.62	
1	-111.5	696.17	1160.61	0	0	4688.42	9604.2	200.89	5832	9061.37	-11.03	-497.24	-16473.06	-19190.03	-124803.17	
